student_id,uw_netid,name,premajor,international,omad,activity,assignments,grades
4957955,cuzfge40,Barbara Holbert,1,0,0,-1.1111150133582655,-2,-1.4450243700729404
0567598,oilhfj96,Andrew Nisbet,1,0,0,-0.1437022543195008,-1.5,-0.06278675054641703
9442095,lmqtga37,Tiffany Bailey,1,0,0,0.38357185773892244,-1,1.5698301045935334
7487432,rrboky42,Donna Potts,1,0,0,2.0226188657070834,1,0.7624604729094351
1440961,afxfxg88,Steve Smith,1,0,0,-1.6894583411297326,-2.5,1.7583166949384488
9682104,ssebxr27,Mary Ross,1,0,0,0.9549967837607118,-1,-1.2719269713695032
2313473,njwcei49,Don Harrison,1,0,0,0.38356201454754313,0.5,1.3584179345902845
9702534,seqpfv93,Christine Funk,1,0,0,0.8162845407133945,-3.5,1.7527631814822477
1441704,xrbpfw60,Phillip Smith,1,0,0,-0.7031276059592297,2.5,3.0151606270419293
7493333,mqmjug74,Monica Bilsborough,1,0,0,0.6829651034920703,-1.5,1.74735148328089
8290964,lmhfuy68,Kristin Law,1,0,0,0.5467216268230732,-1,-0.6953499471319597
1673742,fvzupe47,Margaret Shawler,1,0,0,1.8039318028484077,1,-1.5637826209570722
1064359,gwuqyf72,Lauren Johnson,1,0,0,-1.9241770012110564,-1.5,-0.4049933954431797
2842521,aidokp10,Darlene Haddix,1,0,0,0.029901183623200822,2,-0.04454161256331712
9880811,gymrpt99,Joan Beck,1,0,0,1.541152967800942,-2.5,0.4784499014578856
3013842,ofkdgx42,Suzanne Payne,1,0,0,-0.3223435627938347,0,1.9008907167902036
8763743,jhthvp82,Wendy Everett,1,0,0,0.6444122238737924,0,0.628848111873018
8193229,thjzar15,Andres Baker,1,0,0,0.2722234204117058,-3,0.16629352497370764
1671200,vepspa61,Carolyn Sherman,1,0,0,0.5679228886128485,-1.5,-3.0128091003052093
4471324,eyxdqx81,Adrian Dillard,1,0,0,0.33168343257048427,0,-1.8436170353339616
4807283,avufju05,David Rich,1,0,0,3.641882364912565,1,2.462982482656882
0228768,lnfjkf05,Judy King,1,0,0,-2.803763676288375,-4,-0.11830116422436898
7546994,hklcgm90,Donald Barnes,1,0,0,0.9185812194839578,-0.5,-0.7361332006540025
1814749,hqqsvy87,Joshua Baldwin,1,0,0,-0.6233215417401512,-1,-0.4034236236159998
0895072,ihxckd08,Pablo Monath,1,0,0,2.258645028851265,-2,-0.1861467307988205
6422944,npgxrz93,Kevin Wolf,1,0,0,1.3350834620279892,-3.5,1.7230490373385878
8267062,jdvkya33,Angelo Marcello,1,0,0,1.7669190519921463,-3.5,-0.8181109166362006
9803811,uxitnz75,Gary Strait,1,0,0,1.1899981672023427,-1.5,-1.0591510155360533
4651593,yxcdbl56,Jonathan Sowl,1,0,0,0.8709179442994808,1,2.5081682854012266
8901316,cglblg72,William Beers,1,0,0,0.995779077305273,0.5,-0.19435630924487945
2150282,rvljxu70,Elizabeth Gallagher,1,0,0,0.5224015882983153,-2,-0.2633706268394729
7980099,ywedgp66,Glenda Davis,1,0,0,-0.1419356800052558,-2.5,-1.0244075599796916
8427038,yebrcq51,Duane Burch,1,0,0,0.7987631956968855,-1.5,-1.2421696237770745
4103799,iozmmy14,Mary Wilkison,1,0,0,0.15617755497469243,-1,0.15916419270297855
9726878,rmukbz45,Lorette Ewing,1,0,0,-0.776403803698873,0,-1.8608304092148629
9769227,kdngpn27,Joan Lavoie,1,0,0,-3.5933061572882723,-0.5,0.5604061623841723
8032323,aohrus26,George Lewis,1,0,0,0.39718188457322245,1.5,-1.1371090980703489
4711882,fzdbdl56,Dennise Kinney,1,0,0,2.259746296005451,-1.5,0.7786669660664618
7706120,zxthhv17,Doug Singleton,1,0,0,3.7401960542650023,-1,-1.6224417883066629
0905324,gmlvpw85,Brian Hartung,1,0,0,-1.199011402189352,-1,-0.8718182872332445
6332250,figcod52,Brenda Schnell,1,0,0,0.3571617122223607,-1.5,-0.5883908320171267
8558748,flksap77,Francis Avent,1,0,0,-0.5934439622956571,-0.5,1.093868940870597
