uw_netid,student_no,student_name_lowc,premajor,activity,assignments,grades,pred
xznsoa81,0993493,Vicki Cooper,0,-1.7,1.7,0.2,-99
eurgug29,1596934,Synthia Parker,0,0.1,2.2,3.5,-99
fyzfxg29,5265267,James Klauer,0,-2.2,5,-1.8,-99
npnibi16,8555146,Anthony Albertson,0,-2.6,-3.7,-2.2,-99
xaoknq97,0226292,Leo Sherman,1,-1.4,-2.3,-1.9,-99
rryqdc26,4698979,Ronald Sanchez,0,0.2,1.6,3.9,-99
yrxugn29,5329335,Emily Carey,1,-3.2,-0.5,0.2,-99
rxmuqh54,3670551,Richard Shapiro,0,-3.3,-3,0,-99
gnlpyd71,1649007,Charles Mcdonald,0,2.8,3,4.8,-99
chjsen95,8723513,Gary Showalter,0,-1.9,2.2,2.4,-99
pqexey80,4897000,Michael Creach,0,-2,-0.3,0.5,-99
uujmfp94,8348319,Yvonne Lazenby,0,1,1.7,-3,-99
hupvrn39,8177977,Lora Blanchard,0,-0.4,3.2,5,-99
imhpft96,5172584,Nancy Devereux,0,-1.6,1.3,2.6,-99
qgnmna50,8455158,Linda William,0,-1.7,1.7,0.3,-99
wfwide68,5723087,Agnes Gates,0,3.3,0,4.3,-99
kzelel26,2823929,Janet Klimczyk,0,-4.3,-3.5,-3.2,-99
zxyyit89,5605956,Irene Jefferson,0,-99,-99,-99,-99
kuvudb05,4228752,Mary Hedrick,0,-1,0.6,3.2,-99
lzlxts73,5858096,Lois Evans,0,2,4.4,3.2,-99
fvoyby29,2834549,Maria Fleenor,0,0.1,3.6,3.9,-99
uirvsc72,6746053,Dolores Lind,0,-4.4,-2.5,-0.9,-99
ederqp60,0828235,Debbie Willison,0,1.9,4,3,-99
pidysm87,4548482,Joy Maisonet,0,-4.6,2.5,4,-99
zuxqab52,9363070,Lynn Workman,0,-1.6,-0.5,-2.6,-99
uvxmnn69,2208250,John Stenberg,0,0.4,2.8,2.7,-99
jfsnrj30,0456732,Gregory Romero,0,0.3,3.8,5,-99
owtnht96,9757410,Krystal Foster,1,-1.4,0.4,2.3,-99
gegmzy27,0763201,Pearl Olsen,0,2.5,5,4.3,-99
lezsxx04,1859548,William Thompson,1,-2.1,-2.5,-5,-99
ryjyzw47,6454442,Deborah Brown,0,1,3.5,3.7,-99
aotlyy72,4962251,John Szymczak,0,-1.9,1.2,3.7,-99
rolicm04,1789546,Florence Abernathy,0,0.2,4.6,2,-99
bspbhk87,5320029,Isiah Peterson,0,2.5,1.5,4.3,-99
euhzth48,4667194,Emilia Chambers,1,2.9,4.3,2.4,-99
lhzaqj90,2784751,Miguel Lacourse,0,-4.6,-2.9,-3.4,-99
yqfesy31,3951450,James Moore,0,1.8,3.8,4.1,-99
rgtylv16,3263209,Dorothy Trombly,0,-0.8,2.7,2.7,-99
dmkboq00,4283158,Katelyn Osullivan,0,-0.7,4,3.2,-99
fyirad82,3655706,Jason King,0,1.3,3.4,4.1,-99
tjfqlu67,5244592,Terry Meyer,0,-5,-5,-5,-99
drsarq92,3674202,Matthew Villa,0,0.7,1,-0.7,-99
rbusbx54,6382446,Esther Garcia,0,-0.2,-1,1,-99
ctumih32,1695656,Tracy Pedigo,0,0.2,2.6,4.4,-99
xofgcm86,0205085,Donald Rose,1,2.2,3.1,4.3,-99
biskri82,1650297,Alex Weintraub,0,2.2,5,1.3,-99
lntssb05,7440941,Jackie Gann,0,3.7,3.1,3.9,-99
eitrzr98,4745514,Alethia Metheney,0,-1.9,2.8,1.7,-99
edeelq21,1469228,Susan Scott,0,-1.7,0.1,1.5,-99
ivbsqa51,9919663,Sandra Pajtas,0,-1.7,0.3,1.6,-99
zttpxz98,4240717,Theresa Jordan,0,-1.7,-5,0,-99
rjmjrm77,6542361,Laurie Beaver,0,1.5,2.7,3.7,-99
xlgkja82,1281851,Michael Slaughter,0,-0.2,3.3,3.5,-99
ycogrr77,5608319,Kristina Black,0,-1.9,0.8,0.7,-99
mchjpl11,1508386,Jessica Shelton,0,1.3,2.5,3.5,-99
hrfbqf27,2793820,Charles Mazur,0,0.8,1.2,4.9,-99
runury29,1865635,George Dugger,0,-2,2.9,3.1,-99
vkjteo92,2204506,Mark Morrow,0,-99,-99,-99,-99
pdaagn06,2388305,Jennifer Gibson,1,-0.8,2.3,3,-99
rrteei81,9830795,Dana Bishop,0,1.1,0.2,2.7,-99
ymnsfl94,2992101,Anne Outen,0,2.3,2.5,1.9,-99
qfprwz14,5163937,Emilia Opheim,0,-4.3,3,3,-99
tjehli59,3851435,Tanja Crowell,0,0.3,2.3,-0.8,-99
srcwaj57,3836193,Steven Blanton,0,-0.2,1.1,4.5,-99
ssqnaz32,5664676,Catherine Barnes,0,-5,0,5,-99
htptet76,6981231,Thelma Spangle,0,-2.5,0.8,5,-99
qatwfb96,1161820,Samuel Kim,0,-5,-5,-5,-99
zmzjmf80,0892091,Yajaira Nutter,0,0,-1.2,-3.5,-99
leqiqz61,0709720,Betty Anderson,0,0.1,1.2,3.4,-99
dnlytb64,0511291,Maria Dathe,0,-4,-2.7,-1.5,-99
gcvbdw02,1535228,Joshua Stender,0,-1.5,4,4,-99
yjnvbl11,8767463,Thomas Elliott,0,3.8,4.5,4.6,-99
ggffvj62,7483207,Lottie Hassett,0,-5,-2.5,5,-99
gifobs16,6648660,Nancy Eaton,0,-3.1,0,3.1,-99
rbekhr59,3703265,Wendy Bigbee,0,-5,2.5,4,-99
gfqfyo02,7881771,Le Lewis,0,-3.5,-0.4,0,-99
gaxevk35,6242487,Nathan Zerger,0,-5,-5,-5,-99
loxprn63,2316958,Charles Thomas,0,-0.2,1.7,3.2,-99
ctbvfj00,6235874,Tara Stene,0,3.1,2,1.6,-99
hkwpbp16,2070337,Marie Haddox,0,0.8,3.5,3.7,-99
ixgemt45,3949731,Louis Mesa,0,-0.2,0.7,1.7,-99
thtzne67,1690167,David Bryant,0,-1.5,0.5,0.1,-99
frzami36,4429120,Gregory Scholl,0,-3.9,-1.2,0.2,-99
ppjcyo18,2292488,Carrie Filler,0,-0.1,1.2,1.8,-99
avvjpb82,3184279,John Moreno,0,-1.5,2.2,2.9,-99
ergtir39,4609303,Rolando Gerry,0,-5,5,-99,-99
aearfk92,3373731,Sandra Franklin,0,2.3,3.5,1.4,-99
jkttne00,7312030,Robin Wolfe,0,-1.2,5,4.1,-99
qavtcp17,6037216,Charles Hughes,0,-3,-2.5,2.5,-99
pwtgpd69,7119284,Kaylee Valentine,0,-1.6,2.2,4.3,-99
oeghob62,2898773,Tim Labbe,0,-1.1,3.2,3.7,-99
qwtsbs62,0740501,Douglas Hilton,0,-2.1,2.7,3.8,-99
hknzkh42,2284099,Mary Keithley,0,-1,2.6,4.5,-99
fayzaj91,3436450,Marie Thomas,0,-1.5,-0.7,0.9,-99
saqawt20,7775156,Donald Frizzell,0,-5,-5,-3.3,-99
flfqqz01,5400105,Justin Patterson,0,0,0,5,-99
ddxknf20,0352363,Louise Moore,0,-0,5,3.4,-99
xsnkto96,5239337,Lisa Macchione,0,-1.2,1.4,1.9,-99
wcywsf06,8471096,Mildred Carney,0,-1.1,0,2.2,-99
ucyeog05,1302280,Joseph Denson,0,-1.4,3.3,1.3,-99
orbeex53,2820878,Wilma White,0,-0.4,5,3.5,-99
alooob08,5006172,Arthur Andrade,0,-3.6,0.5,5,-99
bkygog69,6510737,Heather Cox,1,-1.9,-1.2,-0.9,-99
txmhop25,1221499,Larissa Lloyd,0,-0.8,0.5,4.8,-99
cvjipl80,6353585,Julia Simpson,0,2.5,2.4,3,-99
vpdtmf29,9422653,Amanda Young,0,-5,-5,-3.3,-99
drltrw52,9801453,Maria Hernandez,0,-2.6,1.5,3.5,-99
adnytx68,1081774,Rachel Pennington,0,-1.1,1.1,-1.1,-99
sighdn82,1574152,Robert Swanson,0,-1.4,2.1,3.5,-99
qxzhtq54,0355159,Betty Adams,0,-0.8,1.2,2.8,-99
ujuhdh95,1010349,Herman Massimino,0,0.2,3.2,4.1,-99
cvxnhk93,0876026,Margaret Russell,0,-2.9,-2.3,-1.9,-99
ubtgrz82,3119584,Terry Norris,0,-0.5,3,2.7,-99
yyjljb26,0350578,Katherine Bowles,0,-3.8,-3.5,-3.5,-99
uhsxik98,3945470,Maria Glenn,0,-1.3,2.6,1.4,-99
