uw_netid,student_no,student_name_lowc,premajor,activity,assignments,grades,pred
wuxqbr91,5975507,Katherine Travis,1,1.6,0.2,0,-99
xzeouo12,7856060,Criselda Goggans,1,0.8,1.9,0.9,-99
dssybi71,3081533,Eleanor Flenory,1,1.4,1.7,3.6,-99
oofcpt59,5390347,Kenneth Stoltenberg,1,-0.5,-1.4,3.2,-99
cuzpvh75,6471686,Michael Hickman,1,-3.7,-2.2,-5,-99
lmchhc17,7469590,Edna Gensler,1,0.6,4.1,3.3,-99
uhgnin13,8194318,Colleen Palasik,1,0,3.5,3.3,-99
feothb07,5763917,Eula Schroot,1,1.3,4.5,4.4,-99
zejirw53,3515893,Tracy Jones,1,1.6,4.2,4.3,-99
bagbiv30,0052826,Hector Sether,1,-1.4,2,1.4,-99
vjjzlt64,1722820,Ruben Chambless,1,-1.3,-0.2,1.7,-99
qbazjk94,4183532,John Johnson,1,-0.5,3.9,3.8,-99
qljinz52,0133794,Mattie Smith,1,-0.4,4.1,4.5,-99
agcijr55,7068672,Arthur Jordan,1,-1,4.7,3.1,-99
azaeqi56,0315440,Britney Hairr,1,-4.3,2.7,4.5,-99
bwrvzf56,3172289,Katherine Ackerley,1,3.3,3.8,4.7,-99
vlosfu55,7817032,Gary Purvis,1,-1.6,2.9,4.5,-99
iclihi36,6650955,Janet Berry,1,-0.8,2.9,4.4,-99
hnpdgj33,1758943,Jeff Baur,1,-0.8,4.4,2,-99
nrwrpz11,1980146,Lorraine Orbeck,1,-3.9,-3.5,-4.3,-99
dhsous01,3544697,Corey Vandy,1,-0,1.6,4.6,-99
dirisp30,8543910,Danielle Looney,1,0,1.4,3.5,-99
nwfqdf74,1868981,Irene Cummings,1,0.5,4.6,4.4,-99
uqbygb09,6075194,Clarence Moore,1,-1.2,3.1,3.7,-99
tfzser99,6064679,Heather Bays,1,-3.8,0.9,1.9,-99
rkoiki91,8872900,John Estep,1,-0.3,3.4,3,-99
pvarou05,9262750,Craig Rosales,1,1.3,2.6,4.8,-99
fmybgf56,6337765,Lynn Gable,1,1.9,3.9,3.3,-99
pcgmqc52,3018759,Ray Orr,1,0.2,4.2,4.4,-99
pnobqk29,2293711,Shirley Reitmeier,1,-0.2,2.3,3.5,-99
aqstzc02,7341996,Ann Tyner,1,0.3,0.9,0.8,-99
isxqhg18,4976346,Gene Snodgrass,1,0.7,3.9,3,-99
pmwjlu00,7119124,Teddy Mansfield,1,5,1.9,4.9,-99
