uw_netid,student_no,student_name_lowc,premajor,activity,assignments,grades,pred
hblnci19,0198861,Betty Bucher,0,-1.1,3.1,1.7,4.6
kcvdoa23,3378064,Carla Smith,0,-0.5,-0.4,5,0.2
yvxakn35,5241760,Samuel Brown,0,-0.5,0.8,-0.1,-4.1
afhtou68,6170220,Erin Davis,0,-1.2,1.3,2.7,1.3
yavwbd31,4933976,Albert Lee,1,-2.6,-0.3,4.1,1.3
vzugjc18,6798504,Debrah Dunlap,1,-0.7,0.8,4.1,1.1
qnhlke23,9117934,Jack Jeanpierre,0,0,0,-99,4.9
orwxvw79,9734303,Maxine Neptune,1,-3.5,2.2,1.3,-2.1
hudvqk63,7060266,Leonard Ruiz,0,0.1,1.4,2.6,3.8
dflzaj63,5741364,Nancy Cochran,0,-0.7,1.7,2.8,2.9
ehmpsk87,1744603,Marc Hill,0,-2.4,0.8,3.3,-3.6
cglyol38,7254093,Sarah Wilson,1,-1,4.1,4.6,-3.9
myjyri57,4684739,Barbara Adamson,1,-1.6,-1.4,1.1,-3.7
swfshh82,9061022,Leonora Adams,0,-0.8,1.7,2.6,-5
axsmhh26,1167798,Eric Edwards,1,-3.8,-3.3,-5,3.6
ydkfda46,3957002,Mary Johnson,1,-5,-5,-5,4.2
mtrqdm99,2166105,Peggy Knight,1,-2.5,2,3.1,4.9
jhmnqt94,3941736,Shanna Coleman,1,0.7,0.9,4.2,0.4
otiifz60,8750512,Verna Rodriguez,1,0.7,2.8,5,-5
fmkgwr17,0038132,Laura Russell,1,-0.7,-0.8,3.5,1.9
bafzfq73,9062270,John Sanchez,1,-5,0.2,2.1,3.4
aofctt77,3115434,Linda Green,0,-4.5,-1.3,2.5,1.2
yrohbp21,1151217,Elvira Childs,0,-0.7,3.1,3.8,3
qlitkp66,4703134,Corey Bud,0,1.1,2.2,4.8,3
vrkqyf19,9333741,Willie Whilden,0,-0.9,-0.3,3.8,4.3
xiwini14,7100072,Cheryl Madrid,0,-1,2.8,2,2.6
fexsyd22,9732682,Keith Hurst,0,1.2,2.5,5,4.4
ewuylg84,8293948,John Harder,0,-2.7,0.8,5,4.9
estowx48,4240594,Ronald Collum,0,-0.2,1.5,0.2,-2.8
dcbsvp87,9267381,Mary Duarte,1,-5,-2.8,-5,-5
afjarg66,6108317,Robert Eason,1,0.4,2.8,1.8,3.3
rtpuuu18,6867046,Arthur Massey,0,-0.4,-0.9,0.9,2.7
