uw_netid,student_no,student_name_lowc,premajor,activity,assignments,grades,pred
egvvml58,8015468,Sherry Haas,0,-1.1,3.1,1.7,4.6
jcwqvc16,6089064,James Engler,0,-0.5,-0.4,5,0.2
ghaauy54,2948697,Brittny Martinez,0,-0.5,0.8,-0.1,-4.1
dmibcg16,5040405,Indira Hooper,0,-1.2,1.3,2.7,1.3
diwrhi87,4828897,John Vaughn,1,-2.6,-0.3,4.1,1.3
ommpqv58,5455328,Thomas Woods,1,-0.7,0.8,4.1,1.1
qovqow35,1342529,Irene Donaldson,0,0,0,-99,4.9
pyrsvi16,9077239,Hilda Flowers,1,-3.5,2.2,1.3,-2.1
zigelg17,5263318,Liza Horn,0,0.1,1.4,2.6,3.8
zayuhe78,1298658,William Stanley,0,-0.7,1.7,2.8,2.9
iqksak76,8161096,Marc Montgomery,0,-2.4,0.8,3.3,-3.6
kavmfj60,3585595,Juanita Pasey,1,-1,4.1,4.6,-3.9
uqhwok32,4242468,Edward Hill,1,-1.6,-1.4,1.1,-3.7
ckrfdw83,2376307,Bonnie Starr,0,-0.8,1.7,2.6,-5
jitrww62,6476912,Edward Carroll,1,-3.8,-3.3,-5,3.6
fywcyu92,3967765,June Bedwell,1,-5,-5,-5,4.2
bycbrk07,4896234,Mohammed Amin,1,-2.5,2,3.1,4.9
vttxqr84,9289757,Samuel Smith,1,0.7,0.9,4.2,0.4
ceujvi90,3160327,Hazel Schempp,1,0.7,2.8,5,-5
tqccov63,7807743,Antonio Thompson,1,-0.7,-0.8,3.5,1.9
fkfpoy25,3620259,Derek Val,1,-5,0.2,2.1,3.4
zutdgm74,9647772,Audrey Neyhart,0,-4.5,-1.3,2.5,1.2
yvhsup69,4833467,Frank Parker,0,-0.7,3.1,3.8,3
lnnqul08,9971533,Courtney Dwyer,0,1.1,2.2,4.8,3
rkhioe24,0114862,Eric Wong,0,-0.9,-0.3,3.8,4.3
bcepho98,3665218,Joan King,0,-1,2.8,2,2.6
ezrecn63,4970900,Cherry Ramsey,0,1.2,2.5,5,4.4
fsucsn15,0103250,Paul Tarrant,0,-2.7,0.8,5,4.9
ygumua14,3125142,Joseph Robards,0,-0.2,1.5,0.2,-2.8
gvhfei05,8999207,John Baldwin,1,-5,-2.8,-5,-5
acfscy78,6285336,Patricia Poulin,1,0.4,2.8,1.8,3.3
feqmdt87,1608136,Anna Erhardt,0,-0.4,-0.9,0.9,2.7
