uw_netid,student_no,student_name_lowc,premajor,activity,assignments,grades,pred
isgxym11,6148310,Debbie Wallace,0,-1.1,3.1,1.7,4.6
dndhhm43,1633523,John Brown,0,-0.5,-0.4,5,0.2
wbeicr79,3308537,Charles Cobb,0,-0.5,0.8,-0.1,-4.1
xqzyne30,7598079,Susan Castillo,0,-1.2,1.3,2.7,1.3
uncoyz82,8025700,Terry Edwards,1,-2.6,-0.3,4.1,1.3
xcbahz05,2517272,Joshua Bryand,1,-0.7,0.8,4.1,1.1
vtwdpc65,3957121,Blake Davis,0,0,0,-99,4.9
ixjrno06,3233313,John Anderson,1,-3.5,2.2,1.3,-2.1
gornok74,6341592,John Sheets,0,0.1,1.4,2.6,3.8
ntysht84,6658205,Terry Cisneros,0,-0.7,1.7,2.8,2.9
wgbmok00,7715918,Theodora Foster,0,-2.4,0.8,3.3,-3.6
ckvecy84,5586038,Patricia Rainey,1,-1,4.1,4.6,-3.9
tomnoj62,6444822,John Anderson,1,-1.6,-1.4,1.1,-3.7
lrieyi42,0408299,Terrence Allen,0,-0.8,1.7,2.6,-5
cefqnw47,0208380,John Olaughlin,1,-3.8,-3.3,-5,3.6
zdmnnn42,5825913,Paul Davis,1,-5,-5,-5,4.2
czczpw25,5552780,Jon Bradley,1,-2.5,2,3.1,4.9
pxnmuh95,0106864,Jessica Mcvey,1,0.7,0.9,4.2,0.4
csouta03,3580791,James Richard,1,0.7,2.8,5,-5
grriop34,0891126,Michael Ball,1,-0.7,-0.8,3.5,1.9
kowdui03,6910516,Ivan Lynch,1,-5,0.2,2.1,3.4
vmnsyt23,2183696,Robert Johnston,0,-4.5,-1.3,2.5,1.2
fwqwff57,7902845,John Driver,0,-0.7,3.1,3.8,3
ioudhy20,0529066,Cecil Suh,0,1.1,2.2,4.8,3
nldhwk83,0470697,Rita Gonzalez,0,-0.9,-0.3,3.8,4.3
kfdgfr69,7556286,Ann Smithers,0,-1,2.8,2,2.6
jajcig52,3338450,James Daniel,0,1.2,2.5,5,4.4
giysqw94,4454739,Roger Batson,0,-2.7,0.8,5,4.9
uhbxxi36,1931423,David Hebert,0,-0.2,1.5,0.2,-2.8
zvbvzu93,4529243,Larry Howell,1,-5,-2.8,-5,-5
xirtrm33,1941604,William Goodspeed,1,0.4,2.8,1.8,3.3
