uw_netid,student_no,student_name_lowc,premajor,activity,assignments,grades,pred
fxxtgw47,5430340,Lawanda Blews,0,-1.1,3.1,1.7,4.6
wolrby61,2823539,Candice Bame,0,-0.5,-0.4,5,0.2
kptwpx47,1939904,Melissa Townsend,0,-0.5,0.8,-0.1,-4.1
lbfmjk10,8840733,Donna Lee,0,-1.2,1.3,2.7,1.3
jsbzsq19,4569068,Maggie Smith,1,-2.6,-0.3,4.1,1.3
zscmrw87,1144571,Kayla Pearson,1,-0.7,0.8,4.1,1.1
gapckx54,8495748,Albert Moore,0,0,0,-99,4.9
tqwcvb76,7269355,Marion Sneed,1,-3.5,2.2,1.3,-2.1
mzuzts56,4984686,Brian Albright,0,0.1,1.4,2.6,3.8
skspsp90,3498771,Estelle Cooper,0,-0.7,1.7,2.8,2.9
axoakl30,2748987,Robert Utley,0,-2.4,0.8,3.3,-3.6
nnyyuy06,5548503,Bradley Lehn,1,-1,4.1,4.6,-3.9
kuubrv25,9353350,James Floyd,1,-1.6,-1.4,1.1,-3.7
vfjuvo41,4177592,Teresa Sparks,0,-0.8,1.7,2.6,-5
duppgp37,5733910,Ronald Hutcherson,1,-3.8,-3.3,-5,3.6
nmaocq78,5331759,Latoya Heredia,1,-5,-5,-5,4.2
ciikpb62,8815615,Alfred Jarvis,1,-2.5,2,3.1,4.9
pnozad56,8604033,Brain Holliday,1,0.7,0.9,4.2,0.4
gwhots64,4663861,Gabriel Haley,1,0.7,2.8,5,-5
scsmuw24,9354899,Johnny Mahan,1,-0.7,-0.8,3.5,1.9
ovwpvd25,5273554,Joe Ernst,1,-5,0.2,2.1,3.4
qfljzp84,2359806,Ashlie Cahal,0,-4.5,-1.3,2.5,1.2
ayhevg98,0525516,Beverly Gerth,0,-0.7,3.1,3.8,3
fbuyjn35,5300002,Barbara Cork,0,1.1,2.2,4.8,3
qfasaz03,5542096,James Jones,0,-0.9,-0.3,3.8,4.3
qqqaxk02,5284562,Fred Young,0,-1,2.8,2,2.6
nvhpya12,3530080,Tiffany Brunke,0,1.2,2.5,5,4.4
hxzvaw51,9641532,Concepcion Burrell,0,-2.7,0.8,5,4.9
hqjmzi51,0646827,James Reyes,0,-0.2,1.5,0.2,-2.8
cmnwzx32,0319662,Stephen Zepeda,1,-5,-2.8,-5,-5
xqxloz58,5531134,Albert Hayes,1,0.4,2.8,1.8,3.3
kallrr55,6404291,Tiffany Sammartino,0,-0.4,-0.9,0.9,2.7
kqprpc37,1491671,Kathleen Van,0,-2,-1.1,1.8,2.3
vgxahr27,2405740,Dennis Gregg,1,0.6,1.7,1.6,1.1
wnqmua43,1062623,Constance Franklin,0,-5,-0.3,0,3
pnsoil23,3684793,Donna Gallager,0,-3.3,1.3,2.9,-0.1
xpbqqa97,0242230,Helen Shaffer,0,0,2.3,-0.5,0.4
mnflvb04,9671519,Elizabeth Wert,0,-0.8,1.7,3.8,-4.8
kmbjzx42,5654941,Edgar Moser,1,-0.4,3.9,3.1,0.1
udthib45,0525102,William Campbell,1,-0,0.8,3.8,-2.8
rwpqef75,5463933,Jaime Fields,1,-1,2,5,2.1
riuuia39,4480984,Dennis Armstrong,0,-1.5,-1.2,3.1,-0.2
vkqzmv68,6721137,Margaret Millwee,1,-0.1,0.3,1.2,0.2
dpdmjs20,6085482,Matt Radigan,1,1,1.2,0,-2.3
ojfqfz49,4619384,Jorge Corso,0,-5,-3.8,-5,-4.9
piqgfs59,8284301,Lloyd Strickland,0,-3.5,1.2,1.7,2.8
hagcyg39,5500277,Susanna Mcdowell,1,-0.6,2.5,4.9,0.1
vbxnib46,1611047,Ben Plank,0,-0.7,2.7,2.8,1.8
ujuztp04,8021555,Gerard Vavra,1,-3.2,-2.2,5,1.8
rpwfxx12,6401044,Ruby Mckee,0,-3,1.3,4.2,1.8
tpexjg29,2532992,Idell Phillips,1,-0,1.5,2.8,-3.1
rhstrh28,7764820,Jose Cox,0,-0.6,0,-1,3.9
rdaoid77,3365880,Dave Bates,1,-3,-1.5,4.2,-2.6
topxhg78,4625222,Donna Wooden,0,0.2,1.3,3.2,3
ihdlyk19,6780046,Christine Quijano,0,2.3,1.8,4.5,1.6
gzcwzn14,3932202,Rita Stack,0,-1,-0.6,0,4.5
bwctev00,5410241,Brenda Croft,0,2.5,-5,-99,-4.8
swtlri62,5647394,Ken Cruz,0,-2.5,1.5,1.8,3.8
nwqxgm12,2961521,Dianne Tubbs,1,-5,-5,-5,3.1
