uw_netid,student_no,student_name_lowc,premajor,activity,assignments,grades,pred,adviser_name,staff_id
urwlta07,4837293,Manuel Chase,0,0.6,4.1,1.3,4.5,Anne Hernandez,ssujpa10
atemcy43,1485551,Mike Gilbert,0,0.2,0.8,4.8,1.1,Dawn Curtin,sweucq96
qpjynt76,3686478,Christina Poole,0,-3.4,-2.6,-2.7,-3.8,Emily Santos-Bacca,esb99
cahsro52,4784360,Tammy Schaeffer,0,-0,2.7,4,2.2,Anne Hernandez,ssujpa10
njzdtl66,5520765,Geraldine Williams,1,-0.8,0.4,3,3.5,Marie Roberts,vnxici28
bzsjfx26,7600016,Leah Morton,1,-1.4,1.2,3.6,1.4,Jeanne Mason,cnotli32
hxlueo52,1748707,Richard Walls,0,1.7,1.7,4,4.9,Patricia Jackson,hfyvek38
tinvcm55,1652095,William Browning,1,-1.8,0.9,0.6,-1.4,Patricia Jackson,hfyvek38
fwdlzc90,8296689,Gregory Carrasco,0,0.7,-1.4,-1.9,3.6,Michelle Cuellar,oqgnwy64
akifqx47,3020872,Sarah Smith,0,1.2,2.7,0.8,3.8,Luis Yoxall,flgkpr62
znhorf99,2540348,Robert Rick,0,-2.3,1,1.5,-3.7,Emily Santos-Bacca,esb99
ecvvcl73,7183170,Mark Moore,1,0,4.2,4.3,-4.2,Jeanette Lindley,mmxgfl83
lswdno94,3652237,Terrance Petty,1,-0.1,1.7,1.6,-3.8,Marie Roberts,vnxici28
tzduxw89,2089969,Joe West,0,-0.8,2.7,2.6,-5,Kenyatta Berrios,ysftax93
vjqyjd51,8454174,Hector Solorio,1,-0.7,0.6,1.8,3.2,Patricia Jackson,hfyvek38
srygss20,4490971,Farrah Patlan,1,-5,-1.7,0,4,Michelle Cuellar,oqgnwy64
ntiluz32,9657451,William Wagner,1,-0.1,4.9,4.8,4.9,Basia Murton,bm8567
gankbn32,0959398,Cindy Brevell,1,2.3,3.3,3.6,0.8,Irene Feldman,ekhymj67
dpuvpr04,2438286,John Lewis,1,0.9,1.9,2.6,-5,Paul Prince,wndznn45
chqtuj75,4093211,Eleanor Shoaf,1,0.3,1.2,2.2,2.3,Paul Prince,wndznn45
vvjqbe72,2002556,Jeffrey Lara,1,-3.6,0.9,-0.4,3.4,Emily Santos-Bacca,esb99
uqvbvf11,6333822,Whitney Beasley,0,-3.7,2,2.4,0.9,Jeanette Lindley,mmxgfl83
outiqx25,4669989,Arthur Wood,0,-0.6,2.2,1.8,3.6,Michelle Cuellar,oqgnwy64
bjhozt01,4543358,Beth Larue,0,0.9,2.6,3.7,3.9,Michelle Cuellar,oqgnwy64
hwtgmv64,0444057,Nathaniel Peoples,0,-1.3,-0.4,1.9,4.1,Irene Feldman,ekhymj67
zutxsq24,9205718,Drew Dinham,0,-0.2,1.6,1.6,1.7,Irene Feldman,ekhymj67
mfouak21,7759084,Robert Bogar,0,2.3,4.2,4.7,4.3,Kenyatta Berrios,ysftax93
lzgegz34,5158161,Jeff Perez,0,1.1,3.2,4.9,4.9,Marie Roberts,vnxici28
fbzemo34,7628049,Hector Quillen,0,1,-0.6,0,-1.8,Dawn Curtin,sweucq96
gbvbqk64,1442002,Sonya Lybbert,1,-5,-5,-4.7,-5,Basia Murton,bm8567
uambfq55,8819781,Thomas Walker,1,0.8,3.5,0.6,3.4,Jeanette Lindley,mmxgfl83
epuiwv52,1624847,George Thomas,0,1.6,2.6,3.6,2.3,Luis Yoxall,flgkpr62
hfyvtc59,4172101,Cory Owen,0,-2.2,-1.3,0.9,3.4,Jeanette Lindley,mmxgfl83
caekzk06,2267104,Elizabeth Carroll,1,0.3,2.1,3.2,1.7,Michelle Cuellar,oqgnwy64
pupape43,9474690,Brittany Bennett,0,-4.4,-0.4,2.6,3.6,Dawn Curtin,sweucq96
yldgne99,1936507,Lori Holley,0,-2,3.1,2.3,-0.4,Irene Feldman,ekhymj67
dguaxt86,8090229,Kari Colter,0,0.6,0.7,0.3,1.4,Marie Roberts,vnxici28
tcfnuh98,8050565,Michael Herrera,0,-0.4,0,2.9,-4.7,Kenyatta Berrios,ysftax93
zynfbn20,5778234,Harriet Morris,1,1,4.5,4,-1.7,Anne Hernandez,ssujpa10
zhvmoz99,8129794,Nicole Lajoie,1,0.5,3.2,2.9,-3,Luis Yoxall,flgkpr62
rhmvnl16,5949319,Shelley Guerra,1,-0.5,3.3,5,2,Michelle Cuellar,oqgnwy64
cmpeeb87,1721725,Emily Scholle,0,-1.2,-0.7,0.2,0.3,Kenyatta Berrios,ysftax93
fmqpmq68,1474779,Doris Wickline,1,2.2,3.8,4.3,-0.1,Paul Prince,wndznn45
pvgbun28,6508946,Stefan Pierce,1,1.5,2.7,0,-4.5,Emily Santos-Bacca,esb99
qktppd69,5015512,Randy Walsh,0,-99,-99,-99,-99,Dawn Curtin,sweucq96
zagqhn58,5382719,Larry Grayson,0,-3.9,3.8,3.3,3.5,Basia Murton,bm8567
djvrmb35,7036101,Shirley Tuck,1,-0,4.1,3.9,0.8,Patricia Jackson,hfyvek38
adawcr62,2268854,Louis Starr,0,0.5,3.2,3.3,0.5,Irene Feldman,ekhymj67
pfsxqz09,8572416,Kathryn Stanley,1,0.6,-0.9,3.3,1.7,Emily Santos-Bacca,esb99
dmdrkh57,8572905,Martha Mendez,0,-2.2,2.2,3.2,0.8,Paul Prince,wndznn45
gblprg47,1738663,Janet Thompson,1,0.7,1.5,2.1,-3.9,Irene Feldman,ekhymj67
pgbxiq40,8328540,Amina Kass,0,-0.2,2,1.3,3.4,Samuel Dalton,wpqorn73
ttxqxq87,4258175,Heather Vance,1,-1.9,-1.9,-0.2,-2,Samuel Dalton,wpqorn73
bakacq17,3840701,Tiffany Covington,0,-0.4,4.7,3.3,2.9,Anne Hernandez,ssujpa10
ycfvzw27,2497156,Zulema Wood,0,3,2.1,4.4,1.3,Anne Hernandez,ssujpa10
hnyxkl61,6908027,Timothy Rivera,0,0,3.1,3.6,4.4,Basia Murton,bm8567
ezufqk98,8653089,James Kilbourn,0,-3.8,-3.2,0,-3.2,Marie Roberts,vnxici28
hejfyp94,1805223,Kim Johnson,0,-0.7,2.1,2,3.9,Michelle Cuellar,oqgnwy64
hmwynt44,5491708,Sophie Aguiar,1,-99,-99,-99,-99,Samuel Dalton,wpqorn73
vcblhh76,4430889,Travis Wilson,1,-1.9,1.6,2.9,2.3,Basia Murton,bm8567
sdhlql91,7818743,Lawerence Tolles,1,-2.4,2.6,4.7,3.6,Fred Johnson,fj123
yfbbrq26,6413376,Deborah Deloach,0,-0.2,3.8,4.3,2.6,Michelle Cuellar,oqgnwy64
axxvfq39,3195614,Edgar Howes,0,1,2.9,1.9,2.5,Fred Johnson,fj123
lyfjqw32,1315310,Robert Langan,0,-4.5,-4.4,-1.6,-4.9,Irene Feldman,ekhymj67
lhoeem44,2870815,Jeannine Shiever,0,1.8,2.8,2.9,1.8,Kenyatta Berrios,ysftax93
sjqzty15,2190332,Deborah Barlow,0,-2.4,-0.4,3.5,3.3,Kenyatta Berrios,ysftax93
jucteq26,8016000,Bethanie Deluca,1,1.3,2.5,1.8,-4.2,Michelle Cuellar,oqgnwy64
prrbsl48,2742764,Roger Letourneau,0,1,1,0.9,1.4,Paul Prince,wndznn45
nzhqzt01,1263660,Jerry Linahan,0,-3.2,-1.2,4.2,4.7,Emily Santos-Bacca,esb99
wlfmsb39,0626703,Dana Johnson,1,1.1,2.2,4.7,2,Luis Yoxall,flgkpr62
iomojv40,9527753,Aaron Clay,0,0.3,1.6,-0.8,4.1,Emily Santos-Bacca,esb99
mzctyp56,2119341,Luis Mena,0,1.3,3.1,4.7,3.3,Anne Hernandez,ssujpa10
nsuazt61,1279493,Etta Velez,0,-2.7,-2.5,-1,3.4,Basia Murton,bm8567
mcftmj68,0142023,Kevin Goetz,0,-0.4,1.5,2.3,2,Marie Roberts,vnxici28
xvfycw05,9236361,Guadalupe Steele,1,-1.7,3.3,1.3,-3.8,Marie Roberts,vnxici28
mwwbxm34,4583636,Seth Effinger,0,0.3,2.1,3.6,3,Jeanne Mason,cnotli32
gegulv04,0847904,Victor Whitney,0,1.3,3.6,4,-1.5,Irene Feldman,ekhymj67
nwmpou42,4732470,Tim Miller,0,-2,1.5,2.3,4.1,Basia Murton,bm8567
axqnqx69,4530848,Steven Mathews,0,-2.3,-1,0.2,-4.2,Patricia Jackson,hfyvek38
qzdniv57,4618082,Jesse Daniel,0,0.3,0.6,2.1,2.7,Jeanette Lindley,mmxgfl83
nfnlxq95,2438669,Cary Couture,0,1.2,3,4.7,3.8,Emily Santos-Bacca,esb99
bdtskn24,4129577,Peggy Valdez,0,-3.1,2.3,4.8,3,Basia Murton,bm8567
ltikfk38,4799420,Dorothy Truelove,0,-2,-0.6,1.3,2.6,Dawn Curtin,sweucq96
ubpbwb44,8468598,Ryan Lipinski,1,-1.3,2.8,1,-4.7,Samuel Dalton,wpqorn73
iokpfs29,4428995,Angela Connolly,1,-1.8,-0.3,3,-4.8,Marie Roberts,vnxici28
gyxleq66,0086700,Lillian Thompson,0,2,3.7,3.6,3.6,Marie Roberts,vnxici28
kchjxg19,9283483,Donald Cusano,0,-0.1,1.6,4.4,0.5,Marie Roberts,vnxici28
rsolup62,5707358,Larry Styles,0,-3.4,-0.3,-1.3,-1.7,Basia Murton,bm8567
iylasp58,5301588,James Dworkin,0,-2.1,-1,0.4,3.1,Anne Hernandez,ssujpa10
oqvqiw68,9914405,Michael Gardner,0,-0.4,3,2.3,3.5,Marie Roberts,vnxici28
dzzxlk74,1954057,Mary Kosse,0,0.2,3.9,2.7,3.8,Basia Murton,bm8567
luxsym83,7875003,Kenneth Cox,1,2.8,4.1,3.8,3.3,Michelle Cuellar,oqgnwy64
