uw_netid,student_no,student_name_lowc,premajor,activity,assignments,grades,pred
uocuqo53,4849496,Anna Gandy,0,-1.1,3.1,1.7,4.6
lzmcma11,3594499,Michael Evans,0,-0.5,-0.4,5,0.2
qrmujl33,0708994,Rafaela Turner,0,-0.5,0.8,-0.1,-4.1
gamkxo20,8280014,Aurora Dunlap,0,-1.2,1.3,2.7,1.3
fuovrh68,6612738,Donna Delgado,1,-2.6,-0.3,4.1,1.3
pdfxhf29,8188954,Paul Dotson,1,-0.7,0.8,4.1,1.1
rabawu43,6257142,Justin Starkey,0,0,0,-99,4.9
jbyxch40,0113194,Daniel Kimpel,1,-3.5,2.2,1.3,-2.1
cqolua75,0986532,Donya Seeley,0,0.1,1.4,2.6,3.8
capotc81,7945995,Ramona Ginter,0,-0.7,1.7,2.8,2.9
rfvmoj15,3160789,Anthony Foersterling,0,-2.4,0.8,3.3,-3.6
wnmkwf31,2320541,James Horrell,1,-1,4.1,4.6,-3.9
jyszfo70,5902835,Jonathan Searing,1,-1.6,-1.4,1.1,-3.7
zpyhwv15,6847542,Sharon Sykes,0,-0.8,1.7,2.6,-5
nsbwfd37,7294068,Lawrence Rogers,1,-3.8,-3.3,-5,3.6
ohtvth87,7644253,Solomon Pace,1,-5,-5,-5,4.2
rmteam46,6684823,John Revard,1,-2.5,2,3.1,4.9
dpezdc39,5714117,Connie Wallace,1,0.7,0.9,4.2,0.4
uqmeky92,6527874,Robert Miller,1,0.7,2.8,5,-5
qktvls05,3449027,Rosa Upshur,1,-0.7,-0.8,3.5,1.9
fxixhg96,2997534,Cindy Nicholas,1,-5,0.2,2.1,3.4
tuaawo10,8551055,Isabelle Kuhl,0,-4.5,-1.3,2.5,1.2
rblylf68,9330373,Kori Thornsberry,0,-0.7,3.1,3.8,3
ecenam13,1815110,Gabriel Harriman,0,1.1,2.2,4.8,3
mvmwhx19,5861521,Stanley Mcmanis,0,-0.9,-0.3,3.8,4.3
pjdzpb88,3656020,Dennis Jensen,0,-1,2.8,2,2.6
yzdqad08,9943283,Mildred Ward,0,1.2,2.5,5,4.4
rmeqpe68,1867281,Ricky Jacobs,0,-2.7,0.8,5,4.9
hehdsc57,0566554,Merri Kirkwood,0,-0.2,1.5,0.2,-2.8
begcvl93,2642380,Jessie Skinner,1,-5,-2.8,-5,-5
zoithf66,7298047,Frances Haynes,1,0.4,2.8,1.8,3.3
fewlxe29,3884560,David Jones,0,-0.4,-0.9,0.9,2.7
qhpvft37,3058695,David Jordan,0,-2,-1.1,1.8,2.3
opqdub36,7145478,Linda Toms,1,0.6,1.7,1.6,1.1
egfjqo70,9027565,Billy Rupp,0,-5,-0.3,0,3
xbqcao05,7189359,Vivian Robinson,0,-3.3,1.3,2.9,-0.1
eynfqy96,5566069,Grant Taylor,0,0,2.3,-0.5,0.4
vpziub00,2902609,Duncan Garney,0,-0.8,1.7,3.8,-4.8
vphnea40,3790558,Cecelia Sauceda,1,-0.4,3.9,3.1,0.1
tnjjfg04,4338687,Charles Valerio,1,-0,0.8,3.8,-2.8
uayqin26,5565837,Patricia Miller,1,-1,2,5,2.1
cquzjd93,1333373,Lillian Kraus,0,-1.5,-1.2,3.1,-0.2
qgljmk77,9288374,Philip Barrett,1,-0.1,0.3,1.2,0.2
bapwgx79,6272223,Bonnie Stelle,1,1,1.2,0,-2.3
hjrrtp93,6890125,Delores Mccall,0,-5,-3.8,-5,-4.9
ruakul19,4992188,Linda Holt,0,-3.5,1.2,1.7,2.8
jnqjmd27,1202872,Martha Jackson,1,-0.6,2.5,4.9,0.1
zhjtda01,6259410,Carol Hicks,0,-0.7,2.7,2.8,1.8
